field,n_samples,TP,FP_substitution,FP_false_alarm,FN,TN,categories_sum,gold_positive,labels_claimed,precision,recall,f1,accuracy_per_sample,wilson_lo,wilson_hi,n_gse,median_gse_size,largest_gse,top10_share,accuracy_per_study,precision_per_study,recall_per_study,cluster_boot_lo,cluster_boot_hi,gse_with_no_error
Tissue,1500,1495,5,0,0,0,1500,1500,1500,0.9967,0.9967,0.9967,0.9967,0.9922,0.9986,222,4,41,0.184,0.9927,0.9927,0.9927,0.9921,1.0,219
Condition,1500,1425,53,0,22,0,1500,1500,1478,0.9641,0.95,0.957,0.95,0.9378,0.9599,222,4,41,0.184,0.9422,0.969,0.9422,0.9113,0.9783,199
Treatment,1500,980,0,24,177,319,1500,1157,1004,0.9761,0.847,0.907,0.866,0.8478,0.8823,971,1,36,0.196,0.83,0.9713,0.7904,0.8397,0.8891,795
Sex,1500,1498,2,0,0,0,1500,1500,1500,0.9987,0.9987,0.9987,0.9987,0.9952,0.9996,171,4,138,0.394,0.9997,0.9997,0.9997,0.9956,1.0,170
Age,1500,1479,21,0,0,0,1500,1500,1500,0.986,0.986,0.986,0.986,0.9787,0.9908,125,6,142,0.4293,0.9915,0.9915,0.9915,0.9604,1.0,123
